Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.700000000000000,0.0003,.006725508837105
100,2.700000000000000,0.0003,.006725508837105
1000,2.726000000000000,0.0003,.002839356633351
10000,2.727300000000000,0.0003,.003317599906874
100000,2.712950000000000,0.0005,.001961470073935
1000000,2.717124999999999,0.0018,.000425573407045
10000000,2.718111200000001,0.0171,.000062770702161
100000000,2.718114630000000,0.1515,.000061508875678
1000000000,2.718281912000001,1.4544,.000000030733000
10000000000,2.718277097600002,15.2844,.000001740385780
