Trials,Estimated_e,Execution_Time(s),Relative_Error
10,2.600000000000000,0.0002,.043513452954249
100,2.670000000000000,0.0002,.017761892072248
1000,2.759000000000000,0.0002,.014979378192009
10000,2.708300000000000,0.0002,.003672109475382
100000,2.722330000000000,0.0004,.001489239084252
1000000,2.718221000000001,0.0021,.000022377539520
10000000,2.717980800000001,0.0187,.000110742181289
100000000,2.718181050000002,0.1459,.000037074323194
1000000000,2.718245991999933,1.3679,.000013183496551
10000000000,2.718284647699984,13.3753,.000001037140781
